Date,PV Output/Generated Energy (kWh/kWp)
1/10/2020,2.260856272
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/10/2020,2.263816521
1/11/2020,3.331633239
1/11/2020,3.336154494
1/11/2020,3.336154494
1/11/2020,3.336154494
1/11/2020,3.336154494
